Season,Ranking,Title,Author,Notes,Doom wiki,IWAD,Files,Port,Merge,CompLevel
1994,1,Crossing Acheron,Dr. Sleep,,https://doomwiki.org/wiki/Crossing_Acheron,DOOM2.WAD,ACHRON22.WAD,,,
1994,2,Aliens TC,Justin Fisher,,https://doomwiki.org/wiki/Aliens_TC,DOOM.WAD,atcud19.deh|alitcsnd.wad|alitcwad.wad,chocolate,alitcsf.wad,
1994,3,Doomsday of UAC,Leo Martin Lim,,https://doomwiki.org/wiki/Doomsday_of_UAC,DOOM.WAD,UAC_DEAD.WAD,,,2
1994,4,Galaxia,Pavel Hodek,Read the STORY.TXT file,https://doomwiki.org/wiki/Galaxia,DOOM.WAD,GALAXIA.WAD,,,9
1994,5,Serenity,Bjorn Hermans and Holger Nathrath,,https://doomwiki.org/wiki/Serenity,DOOM.WAD,SERENITY.WAD,,,9
1994,6,Eternity,Bjorn Hermans and Holger Nathrath,Also known as Serenity II,https://doomwiki.org/wiki/Eternity_(WAD),DOOM.WAD,ETERNITY.WAD,,,
1994,7,Trinity,"Steve McCrea, et al.",Not related to the previous two,https://doomwiki.org/wiki/The_Unholy_Trinity,DOOM.WAD,TRINITY.WAD,,,
1994,8,Return to Phobos,Michael Kelsey ,,https://doomwiki.org/wiki/Return_to_Phobos,DOOM.WAD,TINK.WAD|RETURN01.WAD,,,
1994,9,Slaughter Until Death,Thomas Möller,Modders collectively referred to as The Innocent Crew,https://doomwiki.org/wiki/Slaughter_Until_Death,DOOM.WAD,SUDTIC.WAD,,,
1994,10,The Evil Unleashed,The Innocent Crew,No specific names on doom wiki for each map,https://doomwiki.org/wiki/The_Evil_Unleashed,DOOM.WAD,TEUTIC.WAD,,,
