Season,Ranking,Play Order,Title,Author,Map,Notes,Doom wiki,IWAD,Files,CompLevel
1994,1,1,Crossing Acheron,Dr. Sleep,MAP03,,https://doomwiki.org/wiki/Crossing_Acheron,DOOM2.WAD,ACHRON22.WAD,
1994,2,1,Aliens TC: The Landing Pads,Justin Fisher,MAP11,I've got the Doom II conversion,https://doomwiki.org/wiki/Aliens_TC,DOOM2.WAD,atc2.deh|atc2sf.wad|atc2snd.wad|atc2tex.wad|atc2wad.wad,
1994,2,2,Aliens TC: Locate the colonists,Justin Fisher,MAP12,automap titles are the same across different levels,https://doomwiki.org/wiki/Aliens_TC,DOOM2.WAD,atc2.deh|atc2sf.wad|atc2snd.wad|atc2tex.wad|atc2wad.wad,
1994,2,3,Aliens TC: Seal off med-labs,Justin Fisher,MAP13,,https://doomwiki.org/wiki/Aliens_TC,DOOM2.WAD,atc2.deh|atc2sf.wad|atc2snd.wad|atc2tex.wad|atc2wad.wad,
1994,2,4,Aliens TC: Escape from med-labs,Justin Fisher,MAP14,,https://doomwiki.org/wiki/Aliens_TC,DOOM2.WAD,atc2.deh|atc2sf.wad|atc2snd.wad|atc2tex.wad|atc2wad.wad,
1994,2,5,Aliens TC: Retreat to landing pads,Justin Fisher,MAP15,,https://doomwiki.org/wiki/Aliens_TC,DOOM2.WAD,atc2.deh|atc2sf.wad|atc2snd.wad|atc2tex.wad|atc2wad.wad,
1994,2,6,Aliens TC: Penetrate the hive,Justin Fisher,MAP16,,https://doomwiki.org/wiki/Aliens_TC,DOOM2.WAD,atc2.deh|atc2sf.wad|atc2snd.wad|atc2tex.wad|atc2wad.wad,
1994,2,7,Aliens TC: Alien Hive,Justin Fisher,MAP17,,https://doomwiki.org/wiki/Aliens_TC,DOOM2.WAD,atc2.deh|atc2sf.wad|atc2snd.wad|atc2tex.wad|atc2wad.wad,
1994,2,8,Aliens TC: The Sulacco,Justin Fisher,MAP18,,https://doomwiki.org/wiki/Aliens_TC,DOOM2.WAD,atc2.deh|atc2sf.wad|atc2snd.wad|atc2tex.wad|atc2wad.wad,
1994,2,9,Aliens TC: Alien Host Ship,Justin Fisher,MAP31,,https://doomwiki.org/wiki/Aliens_TC,DOOM2.WAD,atc2.deh|atc2sf.wad|atc2snd.wad|atc2tex.wad|atc2wad.wad,
1994,2,10,Aliens TC: Bonus Level 1,Justin Fisher,MAP01,,https://doomwiki.org/wiki/Aliens_TC,DOOM2.WAD,atc2.deh|atc2sf.wad|atc2snd.wad|atc2tex.wad|atc2wad.wad,
1994,2,11,Aliens TC: Bonus Level 2,Justin Fisher,MAP02,,https://doomwiki.org/wiki/Aliens_TC,DOOM2.WAD,atc2.deh|atc2sf.wad|atc2snd.wad|atc2tex.wad|atc2wad.wad,
1994,3,1,Doomsday of UAC,Leo Martin Lim,E1M8,,https://doomwiki.org/wiki/Doomsday_of_UAC,DOOM.WAD,UAC_DEAD.WAD,2
1994,4,1,Galaxia: E1M1,Pavel Hodek,E1M1,Read the STORY.TXT file,https://doomwiki.org/wiki/Galaxia,DOOM.WAD,GALAXIA.WAD,
1994,4,2,Galaxia: E1M9,Pavel Hodek,E1M9,,https://doomwiki.org/wiki/Galaxia,DOOM.WAD,GALAXIA.WAD,
1994,5,1,Serenity: A Warm Welcome,Bjorn Hermans and Holger Nathrath,E3M1,,https://doomwiki.org/wiki/Serenity,DOOM.WAD,SERENITY.WAD,
1994,5,2,Serenity: Doom - The Movie,Bjorn Hermans and Holger Nathrath,E3M2,,https://doomwiki.org/wiki/Serenity,DOOM.WAD,SERENITY.WAD,
1994,5,3,Serenity: R You Lonesome?,Bjorn Hermans and Holger Nathrath,E3M3,,https://doomwiki.org/wiki/Serenity,DOOM.WAD,SERENITY.WAD,
1994,5,4,Serenity: All the Marbles,Bjorn Hermans and Holger Nathrath,E3M4,,https://doomwiki.org/wiki/Serenity,DOOM.WAD,SERENITY.WAD,
1994,5,5,Serenity: Dungeons of the Dark,Bjorn Hermans and Holger Nathrath,E3M5,,https://doomwiki.org/wiki/Serenity,DOOM.WAD,SERENITY.WAD,
1994,5,6,Serenity: I'm Here. I'm There. Stairs Are Everywhere,Bjorn Hermans and Holger Nathrath,E3M6,,https://doomwiki.org/wiki/Serenity,DOOM.WAD,SERENITY.WAD,
1994,5,7,Serenity: Big Time,Bjorn Hermans and Holger Nathrath,E3M7,,https://doomwiki.org/wiki/Serenity,DOOM.WAD,SERENITY.WAD,
1994,5,8,Serenity: Church of the Poisened Minds,Bjorn Hermans and Holger Nathrath,E3M8,,https://doomwiki.org/wiki/Serenity,DOOM.WAD,SERENITY.WAD,
1994,6,1,Eternity: From Here till Eternity,Bjorn Hermans and Holger Nathrath,E2M1,Also known as Serenity II,https://doomwiki.org/wiki/Eternity_(WAD),DOOM.WAD,ETERNITY.WAD,
1994,6,2,Eternity: The Fat Imp Sings Your Blues,Bjorn Hermans and Holger Nathrath,E2M2,,https://doomwiki.org/wiki/Eternity_(WAD),DOOM.WAD,ETERNITY.WAD,
1994,6,3,Eternity: Totally Crossed Out,Bjorn Hermans and Holger Nathrath,E2M3,,https://doomwiki.org/wiki/Eternity_(WAD),DOOM.WAD,ETERNITY.WAD,
1994,6,4,Eternity: Clear & Unpleasant Danger,Bjorn Hermans and Holger Nathrath,E2M4,,https://doomwiki.org/wiki/Eternity_(WAD),DOOM.WAD,ETERNITY.WAD,
1994,6,5,Eternity: Through the Eye of the Needle,Bjorn Hermans and Holger Nathrath,E2M5,,https://doomwiki.org/wiki/Eternity_(WAD),DOOM.WAD,ETERNITY.WAD,
1994,6,6,Eternity: The Underground,Bjorn Hermans and Holger Nathrath,E2M6,,https://doomwiki.org/wiki/Eternity_(WAD),DOOM.WAD,ETERNITY.WAD,
1994,6,7,Eternity: Escape While You Can,Bjorn Hermans and Holger Nathrath,E2M7,,https://doomwiki.org/wiki/Eternity_(WAD),DOOM.WAD,ETERNITY.WAD,
1994,6,8,Eternity: Serenity Forever,Bjorn Hermans and Holger Nathrath,E2M8,,https://doomwiki.org/wiki/Eternity_(WAD),DOOM.WAD,ETERNITY.WAD,
